Trading Name,Trading Code,RIC,Mkt Cap ($M),Tot. Rev ($M),P/E,Yield (%),Sector,GTI Score
DairyFarm USD,D01,DAIR.SI,8129.744,11581.4,125.65,3.49,Food & Drug Retailing,
Darco Water Tech,BLR,DRWT.SI,23.458,85.899,,,Industrial & Commercial Services,43
Dasin Retail Tr,CEDU,DASI.SI,537.492,69.471,,8.35,Real Estate,
Datapulse Tech,BKW,DATA.SI,47.279,2.867,,4.65,Technology Equipment,24
DBS,D05,DBSM.SI,68534.023,15594,11.17,4.49,Banking & Investment Services,124
Debao Property,BTF,DPDL.SI,7.135,29.051,,,Real Estate,36
Del Monte Pac,D03,DMPL.SI,757.844,2578.718,,5.39,Food & Beverages,102
Delfi,P34,DELF.SI,584.213,614.388,18.24,2.96,Food & Beverages,65
Design Studio,D11,DESS.SI,18.999,129.081,,,Retailers,50
DISA,532,DISA.SI,20.097,0.508,,,Industrial Conglomerates,70
DLF,KUX,DLFH.SI,22.405,9.454,,,Industrial & Commercial Services,
Dragon,MT1,DRGN.SI,1.375,3.911,,,Industrial Goods,64
Dukang,BKV,DDHL.SI,4.637,27.144,,,Food & Beverages,48
Dutech,CZ4,DTHL.SI,73.193,356.145,6.61,4.88,Technology Equipment,52
Duty Free Intl,5SO,DUTY.SI,183.374,189.053,14.7,10.07,Transportation,53
Dyna-Mac,NO4,DMHL.SI,140.18,88.102,240.35,,Industrial Goods,47
Dynamic Colours,D6U,DYCL.SI,37.831,52.859,18.02,2.78,Chemicals,86
Eagle HTrust USD,LIW,EAGL.SI,403.943,,,,Real Estate,
EC World Reit,BWCU,ECWO.SI,590.057,96.739,12.3,8.25,Real Estate,68.9
EcoWise,5CT,ECOW.SI,28.724,57.208,,,Industrial & Commercial Services,74
Edition,5HG,EDIT.SI,12.555,0.101,,,Software & IT Services,48
Eindec,42Z,EIND.SI,2.908,10.353,,,Industrial Goods,53
Elec & Eltek USD,E16,EELT.SI,284.118,602.736,14.01,,Technology Equipment,57
Ellipsiz,BIX,ELPZ.SI,65.18,50.17,,3.85,Technology Equipment,65
EMAS Offshore,UQ4,,,,,,,
Eneco Energy,R14,ENEC.SI,25.947,42.806,,,Transportation,37
EnGro,S44,ENGR.SI,118.109,129.644,15.16,2.51,Mineral Resources,35
Envictus,BQD,ETIK.SI,28.481,149.708,,,Food & Beverages,53
Enviro-Hub,L23,EHHL.SI,23.776,31.653,15.44,13.04,Industrial & Commercial Services,52
Epicentre,5MQ,EPHL.SI,2.875,-3.175,,,Retailers,47
ES,5RC,ESGL.SI,3.53,24.182,,,Industrial Goods,72
ESR-REIT,J91U,ESRR.SI,1827.771,248.951,,6.37,Real Estate,80.8
ETC Singapore,1C0,EMER.SI,14.564,64.102,2.9,,Industrial Goods,58
