Trading Name,Trading Code,RIC,Mkt Cap ($M),Tot. Rev ($M),P/E,Yield (%),Sector,GTI Score
TheHourGlass,AGS,HRGS.SI,578.11,727.667,7.9,3.66,Retailers,63
Thomson Medical,A50,THOS.SI,1586.461,221.777,214.29,,Healthcare Services,68
Tianjin ZX USD,T14,TIAN.SI,1696.402,967.672,7.77,,,51
TIH,T55,TIHL.SI,56.796,9.623,12.45,,Banking & Investment Services,66
Tiong Seng,BFI,TISE.SI,94.223,352.229,16.6,2.44,Industrial & Commercial Services,64
Tiong Woon,BQM,TION.SI,83.605,117.225,28.53,0.56,Industrial Goods,45
TLV,42L,TLVH.SI,34.496,119.671,10.22,3.59,Retailers,69
Top Global,BHO,TPGB.SI,77.255,59.381,,,Real Estate,54
Top Glove,BVA,TPGC.KL,11266.593,4801.759,30.36,1.7,Healthcare Services,
Tosei,S2D,8923.T,68174.445,61977.324,8.58,2.14,Real Estate,
TPV Tech,T18,0903.HK,9011.41,68969.492,19.48,0.26,Technology Equipment,
Transcorp,T19,TCHL.SI,1.347,2.42,,,Cyclical Consumer Products,38
Transit Concrete,570,TMCL.SI,4.871,8.671,,14.29,Mineral Resources,59
Travelite,BCZ,TRHL.SI,7.131,42.781,33.24,,Retailers,61
Trek 2000 Intl,5AB,TRKL.SI,22.71,21.161,,14.29,Technology Equipment,-5
Trendlines,42T,THET.SI,64.887,8.308,,,Cyclical Consumer Services,82
TrickleStar,CYW,TRIC.SI,27.836,18.474,27.02,,Industrial Goods,
Tritech,5G9,TTGL.SI,25.511,37.538,,,Industrial & Commercial Services,64
Triyards,RC5,TRIY.SI,27.458,158.264,,,Energy - Fossil Fuels,46
TSH,KUH,TSHC.SI,8.428,3.878,,,Cyclical Consumer Services,
TT Intl,T09,TINL.SI,14.581,141.392,,,Retailers,20
TTJ,K1Q,TTJH.SI,71.75,,,1.95,Industrial & Commercial Services,60
Tuan Sing,T24,TSHS.SI,406.143,329.355,3.24,1.76,Real Estate,106
Tung Lok Rest,540,TGLK.SI,42.258,80.628,,,Cyclical Consumer Services,63
Tye Soon,BFU,TYES.SI,10.908,220.166,,4.58,Retailers,44
UG Healthcare,41A,UGHE.SI,28.995,91.711,11.54,1.73,Healthcare Services,66
UIC,U06,UICS.SI,4183.096,755.362,7.62,1.03,Real Estate,63
UMS,558,UMSH.SI,434.508,113.774,13.45,4.32,Technology Equipment,64
Uni-Asia Grp,CHJ,UAFC.SI,57.433,170.304,16.8,5.59,Real Estate,53
Union Gas,1F2,UNIO.SI,56.081,66.776,7.93,3.67,Utilities,
Union Steel,BLA,UNIS.SI,12.01,68.605,,,Mineral Resources,66
United Engineers,U04,UTES.SI,1721.305,377.768,13.35,1.11,Real Estate,71
United Food,AZR,UTDF.SI,16.935,13.889,1.45,,Food & Beverages,41
United Global,43P,UNIT.SI,158.257,158.329,12.84,2,Energy - Fossil Fuels,68
Universal Res,BGO,UNIV.SI,4.091,0.01,,,Energy - Fossil Fuels,41
UnUsUaL,1D1,UNUS.SI,319.046,55.224,26.79,,Industrial & Commercial Services,
UOA,EH5,UOS.AX,386.527,638.911,10.81,2.35,Real Estate,
UOB,U11,UOBH.SI,45408.219,12555.963,10.89,3.89,Banking & Investment Services,109
UOB Kay Hian,U10,UOKH.SI,994.233,341.391,16.88,3.88,Banking & Investment Services,60
UOI,U13,UOIS.SI,429.308,51.575,4.67,2.42,Insurance,77
UOL,U14,UTOS.SI,6676.577,2354.373,13.47,2.21,Real Estate,78
USP Group,BRS,USPG.SI,3.736,39.77,,,Energy - Fossil Fuels,43
Vallianz,WPC,VHLD.SI,60.468,249.45,,,Transportation,
ValueMax,T6I,VAMG.SI,172.177,202.128,7.48,4.29,Banking & Investment Services,38
Valuetronics,BN2,VLUE.SI,296.376,483.483,8.55,5.15,Technology Equipment,47
Vashion,1F4,VSHN.SI,1.199,7.235,,,Retailers,48
Venture,V03,VENM.SI,4504.72,3607.298,10.21,4.5,Technology Equipment,79
Versalink,40N,VERS.SI,20.14,15.391,,,Industrial & Commercial Services,60
Vibrant Group,BIP,VIBR.SI,89.338,274.072,2.41,3.13,Transportation,63
VibroPower,BJD,VIBO.SI,4.073,15.372,12.56,,Industrial Goods,38
VICOM,V01,VCOM.SI,677.225,101.989,19.16,4.88,Industrial & Commercial Services,100
Vicplas Intl,569,VICP.SI,45.691,80.165,10.74,5.56,Cyclical Consumer Products,51
Viking Offshore,557,VIKO.SI,4.427,23.82,,,Energy - Fossil Fuels,51
Vividthree,OMK,VIVI.SI,48.766,9.284,14.91,,Cyclical Consumer Services,
Wee Hur,E3B,WHHL.SI,201.222,176.388,11.14,3.26,Industrial & Commercial Services,51
Willas-Array,BDR,0854.HK,204.497,3687.827,,8.33,Technology Equipment,79
Wilmar Intl,F34,WLIL.SI,24676.648,58337.895,16.66,2.6,Food & Beverages,89
Wilton Resources,5F7,WILT.SI,66.706,0.409,,,Mineral Resources,61
Winas,5CN,WINA.SI,9.954,-45.782,1.07,43.1,Industrial Goods,51
Wing Tai,W05,WTHS.SI,1556.097,324.02,31.28,1.53,Real Estate,49
Wong Fong Ind,1A1,WONG.SI,46.765,56.911,15.86,1.91,Industrial Goods,55
World Class Gbl,1E6,WORL.SI,146.54,439.372,4.49,,Real Estate,
World Precision,B49,WPML.SI,80.113,167.533,,,Industrial Goods,39
XMH,BQF,XMHL.SI,14.2,76.035,,,Industrial Goods,67
Y Ventures,1F1,YVEN.SI,27.815,29.766,,,Software & IT Services,
Yamada Green Res,BJV,YAMR.SI,58.767,11.926,,,Food & Beverages,59
Yanlord Land,Z25,YNLG.SI,2400.332,3061.17,4.98,5.53,Real Estate,54
Yeo Hiap Seng,Y03,YHSS.SI,550.915,351.154,33.37,2.11,Food & Beverages,78
YHI Intl,BPF,YHII.SI,99.381,458.272,8.63,4.41,Automobiles & Auto Parts,42
Yinda Infocomm,42F,YIND.SI,2.28,17.985,3.05,,Telecommunications Services,50
Ying Li Intl,5DM,YING.SI,266.308,127.211,16.45,,Real Estate,64
Yoma Strategic,Z59,YOMA.SI,617.674,132.441,13.92,1.54,Real Estate,98
Yongmao,BKX,YNMH.SI,77.766,197.563,4.9,3.43,Industrial Goods,47
Yongnam,AXB,YNAM.SI,78.39,163.533,,,Industrial & Commercial Services,48
Yorkshine,MR8,YORK.SI,90.878,32.199,,,Mineral Resources,40
Yunnan Energy,T43,1298.HK,776.732,145.913,,,Technology Equipment,43
YuuZoo Networks,AFC,YUUZ.SI,29.678,15.733,,,Software & IT Services,-12
YZJ Shipbldg CNY,SO7,,,,,,,
YZJ Shipbldg SGD,BS6,YAZG.SI,3900.097,4594.139,5.28,5.1,Industrial Goods,66
Zhongmin Baihui,5SR,ZBRG.SI,98.299,193.087,11.93,6,Retailers,23
Zhongxin Fruit,5EG,ZHON.SI,6.342,19.436,7.85,,Food & Beverages,42
ZICO Hldgs,40W,ZICO.SI,45.451,28.927,67.65,,Industrial & Commercial Services,67
